nama_item,price 
Beng Beng Chocolate Crisp Wafer - Netto 20 bks x 22 gr,27800.0
Silver Queen Rockr 22 gr,4000.0
WoCA Coklat Kopi Luwak Chocolate Bar Premium Dark or Milk,15999.0
Gery Meiseis 7 gr x10,3900.0
Chocolatos Dark 20 x 16 gr (1 Box),18200.0
WoCA Coklat Original Premium Chocolate 90 gram,21999.0
Choki Choki Chococashew - Netto 20 pcs x 11 gr,17500.0
Milo Energy Cube SATUAN,650.0
Kinder Bueno Chocolate 43 gr,12400.0
WoCA Assorted Chocolate Bar WoCA 6x90 gram,119999.0
L'AGIE Animal Series Milk Chocolate - Netto 25 gr,2600.0
Chocolate Monggo 80g Collection | 20 Variants | Cokelat Murni 100% Cocoa Butter | Dark Coklat Hitam,49000.0
Kinder Joy Cokelat Compound Krispi 20 gr,12400.0
Hagelslag Ceres Festive 90 gr,10600.0
Delfi Orion Chocopie Cacao Choco Pie Dark 180 gr,17500.0
NESTLE KITKAT Coklat Wafer 2F Original 17g x 6pcs,26800.0
Kit Kat Green Tea 4 Fingers 35g,11400.0
Hello Panda Biskuit Choco 45 gr,8500.0
Pasha Dark Chocolate Compound Pack 250 gr,22400.0
WoCA Coklat Peppermint Premium Chocolate 90 gram,21999.0
Delfi Bar bar 18 gr,2400.0
NanoNano Milky Permen Susu Cokelat 12 gr,2400.0
Ritz Meses Cokelat 300 gr,44000.0
WoCA Krunz Chocolate Dark 8 individual packs - Pouch,24999.0
Chocolatos Dark Mini Kemasan 24g x2,3500.0
MILO Coklat Nuggets 25g x 2pcs,20900.0
Hello Panda Choco 2 x 45 gr,14800.0
Tulip Dark Compound Cokelat 250 gr,21300.0
Kit Kat Chocolate Green Tea 4 Fingers 35 gr,11600.0
Milkuat Susu UHT Cokelat 50 mL,1100.0
Kinder Joy (Girls) Camilan Cokelat 2 x 20 gr,23500.0
Gery Meiseis 7 gr Twinpack0,9000.0
Toblerone Coklat Milk Box 100g Coklat Swiss Premium,33600.0
Loacker Quadratini Wafer Cokelat Dark Chocolate 125 gr,33500.0
Tim Tam Choco Biskuit Chocolate 81 gr,7900.0
Mayasi Crispy Crepes Wafer Roll Cokelat 90 gr,7600.0
Delfi Chic Choc Biskuit Cokelat 2 x 50 gr,15000.0
Coco Fruit and Nut Bar 50 gr,8500.0
Frisian Flag Kompleta Coklat 800 gr x 3,205700.0
Kit Kat Green Tea 4 Fingers 35g - 6 pcs,63200.0
Delfi Maltitos Cokelat 40 gr,7000.0
Meiji Yan Yan Topping Chocolate 30 gr,5500.0
Chacha Disney Collection 35 g,9700.0
Chocolatos Dark Mini Kemasan 2 x 30 gr,3500.0
Nestle Nestum Sereal Susu + Cokelat 1 x 128 gr,13400.0
Coklat Krikil Original,21000.0
NESTLE KITKAT Coklat Wafer 2F Original 17g x 6 pcs,27200.0
Silverqueen Very Berry 62 g,23100.0
Oreo Dutch Cocoa Wafer Choco Vanilla 140.4 gr,6900.0
Silverqueen Very Berry 62 g x 2 pcs,41100.0
Cadbury Dairy Milk Hazelnut 62g,17000.0
Soyjoy Strawberry 30 gr Soyjoy Almond & Chocolate 30 gr,18000.0
Twister Chocolate 80 g  x 4 pcs,26700.0
Milo Cokelat Nuggets 2 x 25 gr,20900.0
Delfi Cokelat Cashew 50 gr,12100.0
Cadbury Coklat Lickables Cup 20g Untuk Camilan & Mainan Anak,13900.0
Delfi Hot Cocoa Indulgence 5 x 25 gr,18000.0
Chacha Minis Milk Chocolate 37 g  x 4 pcs,26300.0
Deon Wafer Cream Chocolate 125 gr,6100.0
Silverqueen Cokelat Very Bery Yoghurt 2 x 62 gr,41100.0
